,name,brand,model,year,age,km_driven,torque_Nm,max_power_bhp,mileage_kmpl,selling_price,seller_type,owner,seats,engine,transmission,fuel,mileage,torque,dumpName
26,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
27,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
28,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
29,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
30,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
31,Audi Q7 3.0 TDI Quattro,Audi,Q7,2009,12,98000,550.0,241.4,12.07,810000,Individual,Third_or_Above,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,3.0 TDI Quattro
32,Audi Q7 3.0 TDI Quattro,Audi,Q7,2009,12,120000,550.0,241.4,12.07,1025000,Individual,Third_or_Above,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,3.0 TDI Quattro
33,Audi Q7 3.0 TDI Quattro,Audi,Q7,2010,11,110000,550.0,241.4,12.07,1750000,Individual,Second,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,3.0 TDI Quattro
34,Audi Q7 3.0 TDI Quattro Premium Plus,Audi,Q7,2012,9,70000,550.0,241.4,12.07,1850000,Individual,First,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,3.0 TDI Quattro Premium Plus
35,Audi Q7 3.0 TDI Quattro,Audi,Q7,2014,7,65000,550.0,241.4,12.07,3000000,Individual,First,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,3.0 TDI Quattro
36,Audi Q7 35 TDI Quattro Premium,Audi,Q7,2015,6,53000,550.0,241.4,12.07,2650000,Dealer,First,7,2967 CC,Automatic,Diesel,12.07 kmpl,550Nm@ 1750-2750rpm,35 TDI Quattro Premium
37,BMW 320d Sedan,BMW,320d,2007,14,110000,380.0,181.0,16.07,480000,Individual,Third_or_Above,5,1995 CC,Automatic,Diesel,16.07 kmpl,380Nm@ 1750-3000rpm,Sedan
38,BMW 320d Highline,BMW,320d,2009,12,60000,380.0,181.0,16.07,1100000,Individual,Second,5,1995 CC,Automatic,Diesel,16.07 kmpl,380Nm@ 1750-3000rpm,Highline
39,BMW 320d Luxury Line,BMW,320d,2010,11,102000,400.0,187.74,19.62,1100000,Dealer,First,5,1995 CC,Automatic,Diesel,19.62 kmpl,400Nm@ 1750-2500rpm,Luxury Line
40,BMW 320d Sedan,BMW,320d,2011,10,84925,380.0,181.0,16.07,1500000,Individual,First,5,1995 CC,Automatic,Diesel,16.07 kmpl,380Nm@ 1750-3000rpm,Sedan
41,BMW 320d Luxury Line,BMW,320d,2012,9,140000,380.0,184.0,18.88,1300000,Individual,Second,5,1995 CC,Automatic,Diesel,18.88 kmpl,380Nm@ 1750-2750rpm,Luxury Line
42,BMW 320d Luxury Line,BMW,320d,2012,9,140000,380.0,184.0,18.88,1300000,Individual,Second,5,1995 CC,Automatic,Diesel,18.88 kmpl,380Nm@ 1750-2750rpm,Luxury Line
43,BMW 320d Highline,BMW,320d,2012,9,80000,380.0,181.0,16.07,1100000,Individual,Second,5,1995 CC,Automatic,Diesel,16.07 kmpl,380Nm@ 1750-3000rpm,Highline
44,BMW 320d Corporate Edition,BMW,320d,2012,9,155000,380.0,181.0,16.07,900000,Individual,Second,4,1995 CC,Automatic,Diesel,16.07 kmpl,380Nm@ 1750rpm,Corporate Edition
45,BMW 320d Luxury Plus,BMW,320d,2013,8,140000,380.0,184.0,18.88,1300000,Individual,Second,5,1995 CC,Automatic,Diesel,18.88 kmpl,380Nm@ 1750-2750rpm,Luxury Plus
46,BMW 320d Luxury Plus,BMW,320d,2013,8,140000,380.0,184.0,18.88,1300000,Individual,Second,5,1995 CC,Automatic,Diesel,18.88 kmpl,380Nm@ 1750-2750rpm,Luxury Plus
47,BMW 320d Prestige,BMW,320d,2015,6,74000,380.0,184.0,18.88,1650000,Individual,First,5,1995 CC,Automatic,Diesel,18.88 kmpl,380Nm@ 1750-2750rpm,Prestige
48,BMW 320d Luxury Line,BMW,320d,2016,5,30000,400.0,190.0,22.69,2150000,Dealer,First,5,1995 CC,Automatic,Diesel,22.69 kmpl,400Nm@ 1750-2500rpm,Luxury Line
49,BMW 320d Luxury Line,BMW,320d,2016,5,30000,400.0,190.0,22.69,2150000,Dealer,First,5,1995 CC,Automatic,Diesel,22.69 kmpl,400Nm@ 1750-2500rpm,Luxury Line
50,BMW 320d,BMW,320d,2017,4,13663,400.0,190.0,22.69,3200000,Dealer,First,5,1995 CC,Automatic,Diesel,22.69 kmpl,400Nm@ 1750-2500rpm,
51,BMW 320d Luxury Line Plus,BMW,320d,2017,4,44000,400.0,190.0,22.69,2600000,Dealer,First,5,1995 CC,Automatic,Diesel,22.69 kmpl,400Nm@ 1750-2750rpm,Luxury Line Plus
52,BMW 320d GT Luxury Line,BMW,320d,2017,4,39000,380.0,187.74,19.59,2950000,Dealer,First,5,1995 CC,Automatic,Diesel,19.59 kmpl,380Nm@ 1750-2750rpm,GT Luxury Line
53,BMW 320d Luxury Line Plus,BMW,320d,2017,4,44000,400.0,190.0,22.69,2600000,Dealer,First,5,1995 CC,Automatic,Diesel,22.69 kmpl,400Nm@ 1750-2750rpm,Luxury Line Plus
54,BMW 320d GT Luxury Line,BMW,320d,2017,4,39000,380.0,187.74,19.59,2950000,Dealer,First,5,1995 CC,Automatic,Diesel,19.59 kmpl,380Nm@ 1750-2750rpm,GT Luxury Line
55,BMW 520d,BMW,520d,2008,13,122000,343.23276,177.0,18.48,1100000,Individual,Second,5,1995 CC,Automatic,Diesel,18.48 kmpl,"35.7@ 1,750-3,000(kgm@ rpm)",
56,BMW 520d Sport Line,BMW,520d,2009,12,80000,400.0,187.74,22.48,975000,Dealer,Second,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
57,BMW 520d Luxury Line,BMW,520d,2016,5,12000,400.0,190.0,18.12,2900000,Dealer,First,5,1995 CC,Automatic,Diesel,18.12 kmpl,400Nm@ 1750-2500rpm,Luxury Line
58,BMW 520d Luxury Line,BMW,520d,2016,5,40000,400.0,190.0,18.12,3200000,Individual,First,5,1995 CC,Automatic,Diesel,18.12 kmpl,400Nm@ 1750-2500rpm,Luxury Line
59,BMW 520d Sport Line,BMW,520d,2018,3,29500,400.0,187.74,22.48,3790000,Dealer,First,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
60,BMW 520d Sport Line,BMW,520d,2018,3,17100,400.0,187.74,22.48,3900000,Dealer,First,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
61,BMW 520d Sport Line,BMW,520d,2018,3,29500,400.0,187.74,22.48,3790000,Dealer,First,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
62,BMW 520d Sport Line,BMW,520d,2018,3,10000,400.0,187.74,22.48,4000000,Dealer,First,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
63,BMW 520d Sport Line,BMW,520d,2018,3,10000,400.0,187.74,22.48,4000000,Dealer,First,5,1995 CC,Automatic,Diesel,22.48 kmpl,400Nm@ 1750-2500rpm,Sport Line
64,BMW 520d Luxury Line,BMW,520d,2019,2,10000,400.0,190.0,18.12,5200000,Dealer,First,5,1995 CC,Automatic,Diesel,18.12 kmpl,400Nm@ 1750-2500rpm,Luxury Line
65,BMW 520d Luxury Line,BMW,520d,2019,2,10000,400.0,190.0,18.12,5200000,Dealer,First,5,1995 CC,Automatic,Diesel,18.12 kmpl,400Nm@ 1750-2500rpm,Luxury Line
66,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,28156,620.0,261.4,17.09,6000000,Dealer,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
67,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,28156,620.0,261.4,17.09,6000000,Dealer,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
68,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,22000,620.0,261.4,17.09,5500000,Individual,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
69,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,27000,620.0,261.4,17.09,6000000,Dealer,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
70,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,30000,620.0,261.4,17.09,5830000,Individual,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
71,BMW GT-630d Luxury Line,BMW,GT-630d,2018,3,30000,620.0,261.4,17.09,5830000,Individual,First,4,2993 CC,Automatic,Diesel,17.09 kmpl,620Nm@ 2000-2500rpm,Luxury Line
72,BMW X1 sDrive20d M Sport,BMW,X1,2011,10,42545,400.0,190.0,19.62,1075000,Dealer,First,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
73,BMW X1 sDrive20d M Sport,BMW,X1,2011,10,42545,400.0,190.0,19.62,1075000,Dealer,First,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
74,BMW X1 sDrive20d M Sport,BMW,X1,2011,10,42545,400.0,190.0,19.62,1075000,Dealer,First,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
75,BMW X1 sDrive20d,BMW,X1,2011,10,50000,380.0,184.0,17.05,1000000,Individual,First,5,1995 CC,Automatic,Diesel,17.05 kmpl,380Nm@ 1750-2750rpm,sDrive20d
76,BMW X1 sDrive20d M Sport,BMW,X1,2012,9,96000,400.0,190.0,19.62,925000,Dealer,Second,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
77,BMW X1 sDrive20i xLine,BMW,X1,2016,5,30000,280.0,189.0,15.71,2500000,Individual,Second,5,1998 CC,Automatic,Petrol,15.71 kmpl,280Nm@ 1350-4600rpm,sDrive20i xLine
78,BMW X1 sDrive20i xLine,BMW,X1,2016,5,30000,280.0,189.0,15.71,2500000,Individual,Second,5,1998 CC,Automatic,Petrol,15.71 kmpl,280Nm@ 1350-4600rpm,sDrive20i xLine
79,BMW X1 sDrive20d M Sport,BMW,X1,2018,3,18000,400.0,190.0,19.62,3350000,Dealer,First,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
80,BMW X1 sDrive 20d Sportline,BMW,X1,2018,3,27000,380.0,184.0,17.05,2850000,Dealer,First,5,1995 CC,Automatic,Diesel,17.05 kmpl,380Nm@ 1750-2750rpm,sDrive 20d Sportline
81,BMW X1 sDrive20d M Sport,BMW,X1,2018,3,18000,400.0,190.0,19.62,3350000,Dealer,First,5,1998 CC,Automatic,Diesel,19.62 kmpl,400nm@ 1750-2500rpm,sDrive20d M Sport
82,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5800000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
83,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
84,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
85,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
86,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
87,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
88,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
89,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
90,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
91,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
92,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
93,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
94,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
95,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
96,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
97,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
98,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
99,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
100,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
101,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
102,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
103,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
104,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
105,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
106,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
107,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
108,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
109,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
110,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
111,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
112,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
113,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
114,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
115,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
116,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
117,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
118,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
119,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
120,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
121,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
122,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
123,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,7500,400.0,190.0,16.78,5400000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
124,BMW X4 M Sport X xDrive20d,BMW,X4,2019,2,8500,400.0,190.0,16.78,5500000,Dealer,First,5,1995 CC,Automatic,Diesel,16.78 kmpl,400Nm@ 1750-2500rpm,M Sport X xDrive20d
