,selling_price,age,km_driven,torque_Nm,max_power_bhp,mileage_kmpl,brand_type_2,seller_Individual,owner_Second,owner_Third_or_Above,transmission_Manual,fuel_Gas,fuel_Petrol
55,1100000,13,122000,343.23276,177.0,18.48,1,1,1,0,0,0,0
56,975000,12,80000,400.0,187.74,22.48,1,0,1,0,0,0,0
57,2900000,5,12000,400.0,190.0,18.12,1,0,0,0,0,0,0
58,3200000,5,40000,400.0,190.0,18.12,1,1,0,0,0,0,0
59,3790000,3,29500,400.0,187.74,22.48,1,0,0,0,0,0,0
60,3900000,3,17100,400.0,187.74,22.48,1,0,0,0,0,0,0
61,3790000,3,29500,400.0,187.74,22.48,1,0,0,0,0,0,0
62,4000000,3,10000,400.0,187.74,22.48,1,0,0,0,0,0,0
63,4000000,3,10000,400.0,187.74,22.48,1,0,0,0,0,0,0
64,5200000,2,10000,400.0,190.0,18.12,1,0,0,0,0,0,0
65,5200000,2,10000,400.0,190.0,18.12,1,0,0,0,0,0,0
66,6000000,3,28156,620.0,261.4,17.09,1,0,0,0,0,0,0
67,6000000,3,28156,620.0,261.4,17.09,1,0,0,0,0,0,0
68,5500000,3,22000,620.0,261.4,17.09,1,1,0,0,0,0,0
69,6000000,3,27000,620.0,261.4,17.09,1,0,0,0,0,0,0
70,5830000,3,30000,620.0,261.4,17.09,1,1,0,0,0,0,0
71,5830000,3,30000,620.0,261.4,17.09,1,1,0,0,0,0,0
72,1075000,10,42545,400.0,190.0,19.62,1,0,0,0,0,0,0
73,1075000,10,42545,400.0,190.0,19.62,1,0,0,0,0,0,0
74,1075000,10,42545,400.0,190.0,19.62,1,0,0,0,0,0,0
75,1000000,10,50000,380.0,184.0,17.05,1,1,0,0,0,0,0
76,925000,9,96000,400.0,190.0,19.62,1,0,1,0,0,0,0
77,2500000,5,30000,280.0,189.0,15.71,1,1,1,0,0,0,1
78,2500000,5,30000,280.0,189.0,15.71,1,1,1,0,0,0,1
79,3350000,3,18000,400.0,190.0,19.62,1,0,0,0,0,0,0
80,2850000,3,27000,380.0,184.0,17.05,1,0,0,0,0,0,0
81,3350000,3,18000,400.0,190.0,19.62,1,0,0,0,0,0,0
82,5800000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
83,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
84,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
85,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
86,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
87,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
88,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
89,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
90,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
91,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
92,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
93,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
94,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
95,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
96,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
97,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
98,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
99,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
100,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
101,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
102,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
103,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
104,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
105,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
106,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
107,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
108,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
109,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
110,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
111,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
112,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
113,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
114,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
115,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
116,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
117,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
118,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
119,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
120,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
121,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
122,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
123,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
124,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
125,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
126,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
127,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
128,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
129,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
130,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
131,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
132,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
133,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
134,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
135,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
136,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
137,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
138,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
139,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
140,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
141,5800000,2,21000,400.0,190.0,16.78,1,0,0,0,0,0,0
142,5400000,2,7500,400.0,190.0,16.78,1,0,0,0,0,0,0
143,5500000,2,8500,400.0,190.0,16.78,1,0,0,0,0,0,0
144,65000,14,30000,107.87315,76.0,14.7,0,1,1,0,1,0,1
145,102000,14,50000,110.0,74.9,15.26,0,1,1,0,1,0,1
146,100000,14,60000,107.87315,76.0,14.7,0,1,0,1,1,0,1
147,80000,13,70000,110.0,74.9,15.26,0,1,1,0,1,0,1
148,150000,13,60000,110.0,74.9,15.26,0,1,0,1,1,0,1
149,125000,11,60000,110.0,74.9,15.26,0,1,0,0,1,0,1
150,148000,11,70000,107.87315,76.0,14.7,0,1,0,1,1,0,1
151,130000,10,60000,127.0,92.7,14.49,0,1,1,0,1,0,1
152,150000,11,68000,108.0,79.4,18.6,0,1,0,1,1,0,1
153,140000,11,75000,108.0,79.4,18.6,0,1,0,0,1,0,1
154,250000,11,63000,108.0,79.4,18.6,0,1,0,0,1,0,1
155,120000,11,40000,108.0,79.4,18.6,0,1,1,0,1,0,1
156,150000,11,70000,108.0,79.4,18.6,0,1,0,0,1,0,1
157,140000,11,60000,108.0,79.4,18.6,0,1,0,0,1,0,1
158,110000,11,60000,108.0,79.4,18.6,0,1,1,0,1,0,1
159,140000,10,70000,150.0,57.6,25.44,0,1,0,1,1,0,0
160,120000,10,90000,108.0,79.4,18.6,0,1,0,0,1,0,1
161,120000,10,60000,108.0,79.4,18.6,0,1,0,0,1,0,1
162,140000,10,70000,150.0,57.6,25.44,0,1,0,1,1,0,0
163,125000,10,90000,108.0,79.4,18.6,0,1,1,0,1,0,1
164,150000,10,100000,108.0,79.4,18.6,0,1,0,1,1,0,1
165,165000,10,70000,150.0,57.6,25.44,0,1,1,0,1,0,0
166,221000,10,56000,150.0,57.6,25.44,0,0,1,0,1,0,0
167,120000,9,60000,108.0,79.4,18.6,0,1,0,1,1,0,1
168,220000,9,70000,150.0,57.6,25.44,0,1,1,0,1,0,0
169,200000,9,70000,150.0,57.6,25.44,0,1,1,0,1,0,0
170,150000,9,110000,150.0,57.6,25.44,0,1,0,0,1,0,0
171,170000,9,90000,150.0,57.6,25.44,0,1,0,0,1,0,0
172,141000,9,128000,108.0,79.4,18.6,0,1,0,1,1,0,1
173,175000,9,56365,142.5,56.3,25.44,0,0,0,0,1,0,0
174,120000,9,60000,150.0,57.6,25.44,0,1,1,0,1,0,0
175,155000,9,98000,150.0,57.6,25.44,0,1,0,0,1,0,0
176,180000,9,60000,108.0,79.4,18.6,0,1,0,0,1,0,1
177,140000,9,75000,150.0,57.6,25.44,0,1,0,0,1,0,0
178,135000,9,49000,150.0,57.6,25.44,0,1,0,1,1,0,0
179,165000,9,70000,150.0,57.6,25.44,0,1,1,0,1,0,0
180,124000,9,40000,108.0,79.4,18.6,0,1,1,0,1,0,1
181,180000,9,120000,150.0,57.6,25.44,0,1,0,0,1,0,0
182,225000,9,100000,150.0,57.6,25.44,0,1,0,1,1,0,0
183,150000,9,70000,150.0,57.6,25.44,0,1,1,0,1,0,0
184,145000,9,120000,108.0,79.4,18.6,0,1,0,0,1,0,1
185,120000,9,70000,108.0,79.4,18.6,0,1,0,1,1,0,1
186,170000,8,70000,108.0,79.4,18.6,0,1,1,0,1,0,1
187,300000,8,50000,150.0,57.6,25.44,0,1,0,0,1,0,0
188,175000,8,76000,150.0,57.6,25.44,0,1,0,0,1,0,0
189,200000,8,60000,150.0,57.6,25.44,0,1,1,0,1,0,0
190,175000,8,56315,150.0,57.6,25.44,0,1,0,0,1,0,0
191,175000,8,68000,150.0,57.6,25.44,0,1,1,0,1,0,0
192,140000,8,110000,108.0,79.4,18.6,0,1,1,0,1,0,1
193,170000,8,70000,150.0,57.6,25.44,0,1,0,0,1,0,0
194,210000,8,96272,150.0,57.6,25.44,0,1,0,0,1,0,0
195,200000,8,70000,108.0,79.4,18.6,0,1,0,0,1,0,1
196,125000,8,139000,150.0,57.6,25.44,0,1,0,0,1,0,0
197,145000,8,90000,150.0,57.6,25.44,0,1,0,1,1,0,0
198,170000,7,76000,142.5,56.3,25.44,0,1,1,0,1,0,0
199,185000,7,90000,142.5,56.3,25.44,0,1,1,0,1,0,0
200,160000,7,70000,142.5,56.3,25.44,0,1,0,1,1,0,0
201,220000,7,50000,142.5,56.3,25.44,0,1,0,0,1,0,0
202,190000,7,74321,142.5,56.3,25.44,0,0,0,0,1,0,0
203,240000,7,30000,106.5,76.8,18.6,0,1,0,0,1,0,1
204,200000,6,50000,106.5,76.8,18.6,0,1,0,0,1,0,1
205,240000,6,55000,142.5,56.3,25.44,0,1,0,0,1,0,0
206,250000,6,23500,106.5,76.8,18.6,0,1,0,0,1,0,1
207,200000,6,40000,142.5,56.3,25.44,0,1,0,0,1,0,0
208,200000,6,50000,106.5,76.8,18.6,0,1,0,0,1,0,1
209,200000,6,40000,142.5,56.3,25.44,0,1,0,0,1,0,0
210,375000,5,53319,142.5,56.3,25.44,0,0,0,0,1,0,0
211,210000,5,50000,106.5,76.8,18.6,0,1,0,0,1,0,1
212,215000,5,60000,142.5,56.3,25.44,0,1,1,0,1,0,0
213,300000,5,15000,106.5,76.8,18.6,0,1,0,0,1,0,1
214,310000,5,30000,106.5,76.8,18.6,0,1,0,0,1,0,1
215,350000,4,90000,106.5,76.8,17.8,0,1,0,0,1,0,1
216,300000,13,100000,320.0,147.9,11.5,0,1,1,0,1,0,0
217,260000,12,80000,320.0,147.9,11.5,0,1,1,0,1,0,0
218,500000,10,99500,320.0,147.9,11.5,0,1,0,1,1,0,0
219,500000,10,99500,320.0,147.9,11.5,0,1,0,1,1,0,0
220,700000,9,50000,424.0,184.0,12.12,0,1,1,0,0,0,0
221,667000,8,65000,424.0,184.0,14.6,0,1,0,0,1,0,0
222,270000,11,120000,327.0,147.9,18.3,0,1,0,1,1,0,0
223,250000,11,135000,327.0,147.9,18.3,0,1,0,1,1,0,0
224,270000,11,90000,327.0,147.9,18.3,0,1,1,0,1,0,0
225,300000,11,60000,327.0,147.9,18.3,0,1,0,0,1,0,0
226,440000,10,90000,327.0,147.9,18.1,0,1,1,0,0,0,0
227,440000,10,90000,327.0,147.9,18.1,0,1,1,0,0,0,0
228,430000,10,80000,327.0,147.9,18.1,0,1,1,0,0,0,0
229,409999,10,80000,327.0,147.9,18.3,0,1,1,0,1,0,0
230,270000,10,100000,327.0,147.9,18.3,0,1,0,1,1,0,0
231,360000,10,100000,327.0,147.9,18.3,0,1,0,0,1,0,0
232,300000,10,40000,327.0,147.9,18.3,0,1,0,0,1,0,0
233,495000,9,82000,380.0,163.7,17.3,0,1,0,1,1,0,0
234,495000,9,82000,380.0,163.7,17.3,0,1,0,1,1,0,0
235,550000,9,74000,380.0,163.7,17.3,0,1,0,1,1,0,0
236,450000,6,155000,360.0,163.7,14.81,0,1,0,0,0,0,0
237,750000,5,67600,360.0,163.7,14.81,0,1,0,0,0,0,0
238,750000,5,67600,360.0,163.7,14.81,0,1,0,0,0,0,0
239,300000,8,70000,172.5,73.8,18.2,0,1,0,0,1,0,0
240,350000,8,100000,172.5,73.8,18.2,0,1,0,1,1,0,0
241,350000,8,37000,131.0,98.79,13.7,0,0,0,0,1,0,1
242,355000,8,136000,172.5,73.8,18.2,0,1,1,0,1,0,0
243,450000,8,60000,172.5,73.8,18.2,0,1,0,0,1,0,0
244,300000,8,90000,172.5,73.8,18.2,0,1,0,0,1,0,0
245,380000,8,70000,172.5,73.8,18.2,0,1,1,0,1,0,0
246,190000,7,139000,172.5,73.8,18.2,0,1,1,0,1,0,0
247,350000,7,50000,172.5,73.8,18.2,0,1,0,1,1,0,0
248,312000,7,80000,131.0,98.82,13.7,0,1,0,0,1,0,1
249,450000,7,80000,172.5,73.8,18.2,0,1,1,0,1,0,0
250,350000,7,120000,172.5,73.8,18.2,0,1,1,0,1,0,0
251,275000,7,195000,172.5,73.8,18.2,0,1,0,0,1,0,0
252,370000,6,120000,172.5,73.8,18.2,0,1,0,0,1,0,0
253,420000,5,110000,172.5,73.74,18.2,0,1,1,0,1,0,0
254,420000,5,70000,172.5,73.74,18.2,0,1,0,0,1,0,0
255,500000,5,198000,172.5,73.74,18.2,0,1,0,0,1,0,0
256,535000,5,32000,172.5,73.74,18.2,0,1,0,0,1,0,0
257,420000,5,110000,172.5,73.74,18.2,0,1,1,0,1,0,0
258,490000,5,80000,172.5,73.74,18.2,0,1,0,0,1,0,0
259,280000,5,110000,172.5,73.74,18.2,0,1,1,0,1,0,0
260,525000,5,80000,172.5,73.74,18.2,0,1,0,0,1,0,0
261,650000,4,40000,172.5,73.74,18.2,0,1,1,0,1,0,0
262,675000,4,50000,172.5,73.74,18.2,0,1,1,0,1,0,0
263,190000,15,94000,148.0,104.0,17.4,0,1,1,0,1,0,1
264,160000,14,130000,305.0,123.7,16.52,0,1,1,0,1,0,0
265,210000,13,90000,305.0,123.7,16.52,0,1,0,1,1,0,0
266,225000,13,120000,305.0,123.7,16.52,0,1,1,0,1,0,0
267,250000,12,80000,148.0,102.5,12.9,0,1,1,0,1,0,1
268,225000,11,60000,148.0,102.5,12.9,0,1,1,0,1,0,1
269,272000,10,170000,305.0,123.7,16.52,0,1,0,1,1,0,0
270,290000,10,88000,305.0,123.7,16.52,0,1,0,1,1,0,0
271,415000,10,78432,305.0,123.7,16.52,0,1,0,0,1,0,0
272,290000,10,82500,305.0,123.7,16.52,0,1,1,0,1,0,0
273,300000,10,119000,305.0,123.7,16.52,0,1,1,0,1,0,0
274,400000,9,64000,305.0,123.7,16.52,0,1,0,0,1,0,0
275,229999,8,46000,113.0,84.8,18.2,0,1,0,0,1,0,1
276,300000,8,65000,205.0,76.9,22.1,0,1,0,0,1,0,0
277,420000,8,46815,205.0,76.9,22.1,0,1,1,0,1,0,0
278,245000,8,25000,113.0,84.8,18.2,0,1,0,0,1,0,1
279,200000,8,70000,205.0,76.9,22.1,0,1,0,0,1,0,0
280,246000,8,56000,190.0,74.0,22.1,0,0,0,0,1,0,0
281,120000,8,110000,113.0,84.8,18.2,0,1,1,0,1,0,1
282,355000,8,68000,205.0,76.9,22.1,0,1,0,0,1,0,0
283,225000,8,100000,205.0,76.9,22.1,0,1,1,0,1,0,0
284,295000,8,50000,205.0,76.9,22.1,0,1,0,0,1,0,0
285,200000,8,80000,205.0,76.9,22.1,0,1,0,0,1,0,0
286,200000,8,80000,205.0,76.9,22.1,0,1,0,0,1,0,0
287,246000,8,56000,190.0,74.0,22.1,0,0,0,0,1,0,0
288,330000,7,23000,108.5,82.4,18.2,0,1,0,0,1,0,1
289,260000,7,38000,190.0,74.0,22.1,0,1,0,0,1,0,0
290,450000,7,13500,108.5,82.4,18.2,0,1,0,0,1,0,1
291,300000,7,50000,108.5,82.4,18.2,0,1,0,0,1,0,1
292,310000,7,35000,108.5,82.4,18.2,0,1,0,0,1,0,1
293,300000,7,51000,108.5,82.5,18.2,0,1,0,0,1,0,1
294,300000,7,60175,108.5,82.5,18.2,0,1,0,0,1,0,1
295,220000,6,80000,108.5,82.4,18.2,0,1,0,0,1,0,1
296,371000,6,40000,108.5,82.4,18.2,0,1,0,0,1,0,1
297,480000,6,80000,190.0,74.0,22.1,0,1,1,0,1,0,0
298,350000,6,50000,108.5,82.4,18.2,0,1,0,0,1,0,1
299,350000,6,50000,108.5,82.4,18.2,0,1,0,0,1,0,1
300,200000,6,50000,108.5,82.4,18.2,0,1,0,0,1,0,1
301,400000,5,30000,108.5,82.4,18.2,0,1,0,0,1,0,1
302,250000,5,60000,190.0,74.0,22.1,0,1,1,0,1,0,0
303,400000,5,30000,108.5,82.4,18.2,0,1,0,0,1,0,1
304,550000,5,15000,108.5,82.4,18.2,0,1,0,0,1,0,1
305,90000,14,93000,90.3,62.0,18.0,0,1,0,1,1,0,1
306,72000,14,40000,90.3,62.0,18.0,0,1,1,0,1,0,1
307,100000,14,84000,88.4,60.0,16.0,0,1,0,1,1,1,0
308,90000,14,60000,90.3,62.0,18.0,0,1,1,0,1,0,1
309,45000,13,70000,90.3,62.0,18.0,0,1,0,0,1,0,1
310,65000,13,100000,90.3,62.0,18.0,0,1,0,1,1,0,1
311,65000,13,100000,90.3,62.0,18.0,0,1,0,1,1,0,1
312,75527,13,80000,90.3,63.0,16.0,0,1,0,0,1,0,1
313,95000,12,120000,90.3,62.0,18.0,0,1,0,1,1,0,1
314,90000,12,50000,88.25985,63.0,16.0,0,1,1,0,1,0,1
315,80000,12,80000,90.3,62.0,18.0,0,1,0,1,1,0,1
316,150000,12,80000,90.3,62.0,18.0,0,1,1,0,1,0,1
317,60000,12,110000,90.3,63.0,16.5,0,1,0,1,1,0,1
318,200000,12,30000,90.3,63.0,16.5,0,1,0,0,1,0,1
319,145000,12,30000,90.3,62.0,18.0,0,1,0,0,1,0,1
320,90000,11,70000,90.3,62.0,18.0,0,1,1,0,1,0,1
321,130000,11,50000,90.3,62.0,18.0,0,1,0,0,1,0,1
322,125000,11,70000,90.3,63.0,16.0,0,1,0,0,1,0,1
323,140000,11,100000,90.3,62.0,18.0,0,1,1,0,1,0,1
324,75000,11,120000,90.3,62.0,18.0,0,1,0,0,1,0,1
325,80000,11,80000,90.3,62.0,18.0,0,1,1,0,1,0,1
326,114999,11,60000,90.3,62.0,18.0,0,1,1,0,1,0,1
327,140000,11,60000,90.3,62.0,18.0,0,1,1,0,1,0,1
328,169000,10,41000,90.3,62.0,18.0,0,1,0,0,1,0,1
329,130000,10,110000,90.3,62.0,18.0,0,1,1,0,1,0,1
330,150000,10,80000,90.3,62.0,18.0,0,1,0,0,1,0,1
331,130000,10,67840,90.3,62.0,18.0,0,1,0,0,1,0,1
332,160000,10,49563,90.3,62.1,16.2,0,0,0,0,1,0,1
333,150000,10,35000,90.3,62.0,18.0,0,1,0,0,1,0,1
334,190000,10,20000,90.3,62.0,18.0,0,1,1,0,1,0,1
335,130000,10,68519,90.3,62.1,16.2,0,0,0,0,1,0,1
336,165000,10,70000,90.3,62.0,18.0,0,1,0,0,1,0,1
337,150000,10,30000,90.3,62.0,18.0,0,1,0,0,1,0,1
338,95000,10,44000,90.3,63.0,16.0,0,1,1,0,1,0,1
339,150000,10,40000,90.3,62.0,18.0,0,1,1,0,1,0,1
340,114999,10,100000,90.3,62.0,18.0,0,1,1,0,1,0,1
341,130000,9,110000,90.3,62.1,16.2,0,1,0,0,1,0,1
342,125000,9,40000,90.3,62.1,16.2,0,1,1,0,1,0,1
343,130000,9,70000,90.3,62.0,18.0,0,1,0,0,1,0,1
344,170000,9,80000,90.3,62.1,16.2,0,1,0,0,1,0,1
345,300000,9,70000,90.3,60.2,13.2,0,1,0,0,1,1,0
346,80000,9,70000,90.3,62.1,16.2,0,1,1,0,1,0,1
347,160000,5,50000,90.3,62.1,16.2,0,1,1,0,1,0,1
348,160000,16,220000,186.32635,80.0,14.8,0,1,0,0,1,0,0
349,225000,15,100000,186.32635,80.0,14.8,0,1,0,0,1,0,0
350,305000,12,230000,171.0,72.4,13.58,0,1,1,0,1,0,0
351,295000,12,195000,186.32635,80.0,14.8,0,1,1,0,1,0,0
352,270000,11,185000,186.32635,80.0,14.8,0,1,0,0,1,0,0
353,280000,11,100000,186.32635,80.0,14.8,0,1,1,0,1,0,0
354,409999,11,210000,263.7,105.3,12.2,0,1,0,1,1,0,0
355,285000,11,265000,186.32635,80.0,14.8,0,1,0,1,1,0,0
356,350000,10,120000,186.32635,80.0,12.2,0,1,1,0,1,0,0
357,650000,10,250000,186.32635,80.0,14.8,0,1,1,0,1,0,0
358,600000,8,90000,171.0,72.4,13.58,0,1,0,0,1,0,0
359,454000,8,120000,171.0,72.4,13.58,0,1,1,0,1,0,0
360,600000,7,90000,171.0,72.4,13.58,0,1,1,0,1,0,0
361,575000,7,70000,171.0,72.4,13.58,0,1,1,0,1,0,0
362,600000,7,110000,171.0,72.4,13.58,0,1,0,0,1,0,0
363,500000,7,50000,171.0,72.4,13.58,0,1,0,0,1,0,0
364,600000,6,80000,171.0,72.4,13.58,0,1,1,0,1,0,0
365,580000,6,110000,171.0,72.4,13.58,0,1,1,0,1,0,0
366,434000,6,120000,171.0,72.4,13.58,0,1,0,0,1,0,0
367,425000,6,70000,171.0,72.4,13.58,0,1,0,0,1,0,0
368,509999,6,197000,171.0,72.4,13.58,0,1,0,0,1,0,0
369,409999,5,60000,263.7,105.3,12.2,0,1,1,0,1,0,0
370,900000,5,100000,171.0,72.4,13.58,0,1,0,0,1,0,0
371,620000,5,120000,171.0,72.4,13.58,0,1,0,0,1,0,0
372,620000,5,120000,171.0,72.4,13.58,0,1,0,0,1,0,0
373,225000,7,33000,104.0,67.0,20.63,0,1,0,0,1,0,1
374,225000,7,35000,104.0,67.0,20.63,0,1,0,0,1,0,1
375,300000,6,15000,104.0,67.0,20.62,0,1,0,0,1,0,1
376,350000,6,60000,104.0,67.0,20.62,0,1,0,0,1,0,1
377,225000,6,71850,104.0,67.0,20.63,0,1,0,0,1,0,1
378,275000,6,20000,104.0,67.0,20.63,0,1,0,0,1,0,1
